District,Crop,Season,Soil_pH,Nitrogen,Phosphorus,Potassium,Temperature,Humidity,Rainfall,Area_Hectares,Production_Tonnes,Recommended_Fertilizer,Fertilizer_Quantity_per_Hectare,Organic_Input,Organic_Quantity_per_Hectare,Expected_Yield_Increase_Percent
Pune,Wheat,Rabi,7.07,37,12,36,25.3,72.4,421,2547,6730,DAP,146,Compost,1310,6.3
Nashik,Wheat,Summer,7.31,21,17,33,31.0,68.4,1159,2452,5073,NPK,98,Compost,1811,16.7
Ahmednagar,Wheat,Summer,6.31,35,18,18,24.5,53.5,558,4678,4874,12-32-16,177,Compost,1247,10.6
Satara,Wheat,Rabi,8.02,25,15,38,27.4,91.5,1140,345,14449,Zinc Sulphate,59,Cow Dung,1458,14.3
Kolhapur,Cotton(lint),Kharif,6.05,21,10,23,25.8,48.7,742,347,1103,NPK,89,FYM,1556,16.2
Satara,Grapes,Kharif,7.67,17,20,22,25.9,69.0,799,351,6948,Muriate of Potash,195,Cow Dung,594,22.7
Satara,Sugarcane,Kharif,7.66,14,27,34,25.4,53.5,853,4657,12542,20-20-0,155,Compost,1519,16.6
Nashik,Sugarcane,Summer,6.22,20,29,20,21.9,71.9,1098,634,4296,14-35-14,90,Vermicompost,704,9.5
Kolhapur,Soyabean,Summer,8.59,19,26,21,28.2,89.0,542,3674,6815,Ammonium Sulphate,51,Vermicompost,1333,6.6
Nashik,Grapes,Rabi,7.19,12,29,31,28.5,74.3,796,1684,1166,Ammonium Sulphate,102,Compost,529,17.5
Nashik,Pomegranate,Rabi,7.52,36,19,12,23.7,63.6,935,102,13722,Ammonium Sulphate,196,FYM,765,15.9
Ahmednagar,Onion,Summer,5.78,32,20,10,24.2,76.1,540,2326,4816,NPK,75,Compost,522,18.4
Pune,Sugarcane,Kharif,8.69,18,17,36,29.7,57.9,639,2737,9920,Single Super Phosphate,103,Cow Dung,1108,14.2
Solapur,Onion,Kharif,6.02,21,16,17,24.9,70.9,691,2894,13402,12-32-16,100,FYM,538,21.5
Ahmednagar,Sugarcane,Kharif,7.82,15,22,35,26.4,66.1,481,4936,6708,NPK,163,FYM,672,23.4
Solapur,Sugarcane,Kharif,6.2,28,22,28,22.5,50.4,959,4640,3334,Calcium Nitrate,66,Cow Dung,1259,5.8
Ahmednagar,Soyabean,Rabi,6.5,25,18,22,25.7,85.5,570,4998,6594,12-32-16,169,FYM,1936,19.9
Nashik,Wheat,Rabi,7.63,30,6,16,22.5,79.9,1173,2768,10573,Calcium Nitrate,95,Compost,913,5.7
Ahmednagar,Soyabean,Summer,7.82,32,26,22,23.6,54.7,979,3985,14339,20-20-0,104,Compost,1191,13.9
Solapur,Sugarcane,Rabi,5.98,33,6,35,22.9,77.3,925,712,4598,Ammonium Sulphate,99,Vermicompost,1114,14.2
Ahmednagar,Grapes,Kharif,7.87,38,7,15,29.5,50.9,941,57,10690,Urea,124,Cow Dung,708,18.9
Sangli,Wheat,Summer,7.84,23,28,12,20.7,70.6,509,3733,11530,Urea,60,FYM,521,12.0
Kolhapur,Grapes,Rabi,6.25,37,12,15,27.1,65.6,611,3137,5367,NPK,189,FYM,504,21.4
Pune,Grapes,Rabi,8.28,13,15,37,25.1,85.1,1175,4811,6271,14-35-14,97,FYM,1150,11.9
Solapur,Grapes,Rabi,5.83,27,16,12,31.6,69.0,837,718,12646,20-20-0,170,Compost,713,11.9
Kolhapur,Wheat,Rabi,6.5,19,8,22,29.1,46.5,721,3214,8195,10-26-26,105,Cow Dung,1419,9.5
Pune,Grapes,Rabi,7.38,27,13,22,21.0,77.2,1113,1335,3769,NPK,57,Compost,1406,18.7
Sangli,Wheat,Kharif,6.32,21,28,39,23.8,59.7,483,3670,4815,17-17-17,63,FYM,1662,6.5
Nashik,Onion,Kharif,7.21,28,21,34,25.9,59.1,775,210,9757,Magnesium Sulphate,163,Compost,1171,12.3
Solapur,Pomegranate,Kharif,7.19,17,28,22,23.8,65.4,452,2448,6169,DAP,103,FYM,1166,10.3
Pune,Sugarcane,Rabi,6.85,10,20,10,29.6,58.1,895,3295,2061,14-35-14,66,FYM,1299,9.6
Pune,Cotton(lint),Summer,7.67,23,21,38,26.7,86.5,655,67,14040,14-35-14,182,Compost,816,6.2
Pune,Grapes,Kharif,6.82,32,19,17,25.2,74.7,985,2583,975,Ammonium Sulphate,180,FYM,1292,8.8
Sangli,Soyabean,Kharif,7.19,15,24,14,29.9,51.3,619,4496,13938,14-35-14,58,Compost,1075,13.9
Kolhapur,Onion,Rabi,7.92,23,26,29,21.3,56.3,1054,2625,12361,Ferrous Sulphate,171,Vermicompost,1679,15.1
Sangli,Soyabean,Summer,7.63,11,11,26,24.9,49.3,499,2367,13622,Zinc Sulphate,163,Compost,1947,10.4
Pune,Cotton(lint),Kharif,7.63,18,14,18,27.0,76.6,528,2968,12193,28-28-0,69,Vermicompost,590,18.0
